,Singapore 458278,Singapore 486442,Singapore 529536,Singapore 428802,Singapore 427543,Singapore 449269,Singapore 519612,Singapore 397693,Singapore 530205,Singapore 556083,Singapore 339511,Singapore 038983,Singapore 545078,Singapore 188024,Singapore 018972,Singapore 179103,Singapore 307683,Singapore 018984,Singapore 307591,Singapore 238839,Singapore 807011,Singapore 018935,Singapore 239917,Singapore 309433,Singapore 239351,Singapore 238859,Singapore 238872,Singapore 238801,Singapore 237994,Singapore 238879,Singapore 259727,Singapore 247933,Singapore 098375,Singapore 098537,Singapore 259760,Singapore 099253,Singapore 289215,Singapore 159953,Singapore 268802,Singapore 278967,Singapore 275748,Singapore 138617,Singapore 138632,Singapore 278628,Singapore 597071,Singapore 127371,Singapore 678077,Singapore 667979,Singapore 658713
Singapore 458278,0.0,4111.0,10886.0,5625.0,2875.0,5283.0,15956.0,7704.0,9060.0,12387.0,11412.0,10679.0,12880.0,9903.0,10205.0,10730.0,12295.0,10735.0,12545.0,11108.0,17153.0,10819.0,13266.0,12340.0,13596.0,12353.0,12422.0,13025.0,13625.0,13236.0,14028.0,15486.0,19312.0,18946.0,16005.0,16276.0,17148.0,19079.0,18065.0,22749.0,19075.0,21435.0,20951.0,25236.0,24336.0,24060.0,22077.0,21933.0,24821.0
Singapore 486442,5365.0,0.0,5227.0,8969.0,7572.0,8627.0,21091.0,11048.0,16965.0,13615.0,14756.0,14023.0,14943.0,13247.0,13549.0,14074.0,17429.0,14080.0,19169.0,14452.0,18716.0,14163.0,16610.0,18964.0,16940.0,15697.0,15766.0,21558.0,16969.0,21259.0,19162.0,21439.0,22657.0,22290.0,21140.0,19620.0,22282.0,22423.0,23199.0,24248.0,24209.0,24779.0,24295.0,25779.0,27680.0,27404.0,27211.0,27067.0,29955.0
Singapore 529536,7732.0,5209.0,0.0,10674.0,9184.0,11038.0,19430.0,12806.0,10900.0,11134.0,12685.0,17253.0,10434.0,16478.0,16779.0,18990.0,15768.0,17310.0,17509.0,18617.0,14207.0,17393.0,18773.0,17303.0,18878.0,18648.0,18718.0,19897.0,21080.0,19598.0,17501.0,19778.0,25729.0,25363.0,19479.0,22693.0,20621.0,24122.0,21538.0,22587.0,22548.0,24096.0,27368.0,24118.0,26163.0,30477.0,25550.0,25406.0,28294.0
Singapore 428802,2759.0,8120.0,10050.0,0.0,610.0,1540.0,16851.0,4246.0,8224.0,13282.0,5598.0,9205.0,18814.0,8430.0,8731.0,9257.0,10564.0,9262.0,11072.0,9635.0,18048.0,9346.0,11792.0,10866.0,12123.0,10879.0,10949.0,11552.0,12151.0,11762.0,14922.0,14013.0,17839.0,17473.0,16900.0,14802.0,18042.0,17606.0,18960.0,21276.0,19969.0,19961.0,19477.0,23763.0,22863.0,22586.0,22971.0,22827.0,25715.0
Singapore 427543,3466.0,8488.0,9567.0,1932.0,0.0,1972.0,14637.0,3636.0,7740.0,7034.0,4988.0,7277.0,11560.0,6251.0,7575.0,7197.0,10975.0,9630.0,12715.0,7373.0,15833.0,9713.0,8741.0,12509.0,8847.0,8617.0,8687.0,9290.0,12519.0,9500.0,12708.0,10471.0,18207.0,17840.0,14685.0,15170.0,15828.0,17974.0,16745.0,17794.0,17755.0,20329.0,19845.0,19325.0,23231.0,22954.0,20757.0,20613.0,23501.0
Singapore 449269,3708.0,8212.0,10816.0,1323.0,1399.0,0.0,16943.0,4506.0,8989.0,13373.0,5887.0,9297.0,18906.0,8522.0,8823.0,9349.0,10656.0,9354.0,11164.0,9727.0,18140.0,9437.0,11884.0,10958.0,12214.0,10971.0,11041.0,11644.0,12243.0,11854.0,15014.0,14105.0,17931.0,17565.0,16992.0,14894.0,18134.0,17698.0,19052.0,21367.0,20061.0,20053.0,19569.0,23855.0,22955.0,22678.0,23063.0,22919.0,25807.0
Singapore 519612,17977.0,21220.0,20647.0,17184.0,15174.0,17129.0,0.0,12949.0,10827.0,7740.0,11909.0,14208.0,15390.0,9073.0,16018.0,13040.0,6882.0,16549.0,7023.0,12666.0,8446.0,16633.0,12822.0,9452.0,12927.0,8177.0,8652.0,10839.0,13344.0,10540.0,8455.0,10764.0,21661.0,21294.0,6995.0,15746.0,8137.0,11638.0,9070.0,10103.0,10064.0,11612.0,12346.0,11634.0,13934.0,17217.0,13322.0,13178.0,16066.0
Singapore 397693,8303.0,11406.0,13541.0,4413.0,3687.0,4588.0,13092.0,0.0,13588.0,9523.0,4816.0,6272.0,15050.0,5246.0,6570.0,6192.0,9431.0,7148.0,7856.0,6367.0,14289.0,7231.0,7736.0,7650.0,7842.0,7612.0,7682.0,8285.0,10037.0,8495.0,11163.0,9466.0,15698.0,15332.0,13141.0,12662.0,14283.0,15465.0,15201.0,19135.0,16210.0,17821.0,17336.0,21622.0,20722.0,20445.0,19212.0,19068.0,21956.0
Singapore 530205,11650.0,14893.0,11100.0,13727.0,7560.0,13672.0,9261.0,9492.0,0.0,2225.0,6978.0,13035.0,5749.0,10957.0,12561.0,11491.0,8269.0,13092.0,10009.0,11117.0,5969.0,13175.0,11273.0,9803.0,11378.0,11149.0,11218.0,10841.0,13580.0,12129.0,10032.0,12309.0,21512.0,21145.0,12010.0,18475.0,13152.0,16654.0,14070.0,15118.0,15079.0,16627.0,19683.0,16649.0,18694.0,21976.0,18081.0,17938.0,20825.0
Singapore 556083,11926.0,14223.0,11891.0,13883.0,7716.0,13828.0,7622.0,8885.0,4306.0,0.0,7844.0,12193.0,6594.0,10218.0,12717.0,11025.0,7803.0,13248.0,9543.0,10652.0,7346.0,13332.0,10807.0,9338.0,10913.0,10683.0,10753.0,10375.0,13115.0,10585.0,8408.0,11951.0,21668.0,21301.0,8648.0,16418.0,9791.0,13292.0,10724.0,11757.0,11718.0,13265.0,19217.0,13288.0,15588.0,18870.0,14975.0,14831.0,17719.0
